wikidata_id,name,category,coordinates,image_url,country,wikipedia_url,sitelinks
Q855658,Chihuahuan Desert,deserts,Point(-103.837222222 30.540555555),http://commons.wikimedia.org/wiki/Special:FilePath/Chihuahuan%20Desert.jpg,United States,https://en.wikipedia.org/wiki/Chihuahuan_Desert,47
Q273446,Great Basin Desert,deserts,Point(-114.2197 39.0058),http://commons.wikimedia.org/wiki/Special:FilePath/Great%20Basin%20Desert%203%20by%20Earth%27s%20beauty%20site.jpg,United States,https://en.wikipedia.org/wiki/Great_Basin_Desert,38
Q34221,Niagara Falls,waterfalls,Point(-79.071 43.08),http://commons.wikimedia.org/wiki/Special:FilePath/Niagara%20Falls%20USA%20Canada%20from%20Skylon%20Tower%20on%202002-05-28%2C%20full%20size.jpg,United States,https://en.wikipedia.org/wiki/Niagara_Falls,268
Q491677,Yosemite Falls,waterfalls,Point(-119.597297 37.755018),http://commons.wikimedia.org/wiki/Special:FilePath/Yosemite%20falls%20winter%202010.JPG,United States,https://en.wikipedia.org/wiki/Yosemite_Falls,40
Q37319,Multnomah Falls,waterfalls,Point(-122.115361111 45.57595),http://commons.wikimedia.org/wiki/Special:FilePath/Multnomah%20Falls%20on%202%20August%202012.jpg,United States,https://en.wikipedia.org/wiki/Multnomah_Falls,24
Q37385,Horsetail Fall,waterfalls,Point(-119.628 37.7291),http://commons.wikimedia.org/wiki/Special:FilePath/2007-02-16%20-%20Horsetail%20Fall%20%28Yosemite%29.jpg,United States,https://en.wikipedia.org/wiki/Horsetail_Fall_(Yosemite),22
Q38305,Oloʻupena Falls,waterfalls,Point(-156.859444444 21.164722222),http://commons.wikimedia.org/wiki/Special:FilePath/Molokai%20Waterfall.jpg,United States,https://en.wikipedia.org/wiki/Olo%CA%BBupena_Falls,19
Q1373778,Horseshoe Falls,waterfalls,Point(-79.07562 43.077305),http://commons.wikimedia.org/wiki/Special:FilePath/Niagara%20Falls%206%20db.jpg,United States,https://en.wikipedia.org/wiki/Horseshoe_Falls,18
Q38402,Dry Falls,waterfalls,Point(-119.353644 47.605725),http://commons.wikimedia.org/wiki/Special:FilePath/Dry%20Falls.jpg,United States,https://en.wikipedia.org/wiki/Dry_Falls,18
Q37957,Alamere Falls,waterfalls,Point(-122.783333333 37.953611111),http://commons.wikimedia.org/wiki/Special:FilePath/AlamereFalls.JPG,United States,https://en.wikipedia.org/wiki/Alamere_Falls,18
Q1752963,Saint Anthony Falls,waterfalls,Point(-93.258611111 44.981666666),http://commons.wikimedia.org/wiki/Special:FilePath/Saint%20Anthony%20Falls%20aerial.jpg,United States,https://en.wikipedia.org/wiki/Saint_Anthony_Falls,17
Q38586,Nevada Fall,waterfalls,Point(-119.532777777 37.725277777),http://commons.wikimedia.org/wiki/Special:FilePath/Vernall%20Nevada%20Falls.JPG,United States,https://en.wikipedia.org/wiki/Nevada_Fall,17
Q617835,Malaspina Glacier,glaciers,Point(-140.533 59.9192),http://commons.wikimedia.org/wiki/Special:FilePath/Malaspina%20Glacier%20from%20space.jpg,United States,https://en.wikipedia.org/wiki/Malaspina_Glacier,32
Q610535,Nabesna Glacier,glaciers,Point(-143.090555555 61.933333333),http://commons.wikimedia.org/wiki/Special:FilePath/MtBlackburn-AtnaPeaks-ParkaPeak.jpg,United States,https://en.wikipedia.org/wiki/Nabesna_Glacier,26
Q833807,Columbia Glacier,glaciers,Point(-146.895 61.2197),http://commons.wikimedia.org/wiki/Special:FilePath/Columbia%20Glacier%20%28Alaska%29%20by%20Sentinel-2.jpg,United States,https://en.wikipedia.org/wiki/Columbia_Glacier_(Alaska),20
Q1529680,Muir Glacier,glaciers,Point(-136.4444768 59.2059482),http://commons.wikimedia.org/wiki/Special:FilePath/Morse%20Muir%20Glaciers%201994.jpg,United States,https://en.wikipedia.org/wiki/Muir_Glacier,18
Q1632936,Hubbard Glacier,glaciers,Point(-139.370833333 60.313888888),http://commons.wikimedia.org/wiki/Special:FilePath/Hubbard%20Glacier%20%285%29.jpg,United States,https://en.wikipedia.org/wiki/Hubbard_Glacier,17
Q351,Yellowstone National Park,national_parks,Point(-110.5 44.6),http://commons.wikimedia.org/wiki/Special:FilePath/Grand%20Prismatic%20Spring%202013.jpg,United States,https://en.wikipedia.org/wiki/Yellowstone_National_Park,230
Q180402,Yosemite National Park,national_parks,Point(-119.5375 37.7425),http://commons.wikimedia.org/wiki/Special:FilePath/Half%20Dome%20with%20Eastern%20Yosemite%20Valley%20%2850MP%29.jpg,United States,https://en.wikipedia.org/wiki/Yosemite_National_Park,174
Q274131,Everglades National Park,national_parks,Point(-80.6875 25.3125),http://commons.wikimedia.org/wiki/Special:FilePath/Sunset%20over%20the%20River%20of%20Grass%2C%20NPSphoto%2C%20G.Gardner%20%289255157507%29.jpg,United States,https://en.wikipedia.org/wiki/Everglades_National_Park,140
Q220289,Grand Canyon National Park,national_parks,Point(-112.122 36.0553),http://commons.wikimedia.org/wiki/Special:FilePath/10%20Grand%20Canyon%20Navajo%20Point%20viewpoint%20terrace%2C%20Grand%20Canyon%20National%20Park%2C%20USA%20-%20American%20nature.jpg,United States,https://en.wikipedia.org/wiki/Grand_Canyon_National_Park,124
Q219562,Bryce Canyon National Park,national_parks,Point(-112.17 37.64),http://commons.wikimedia.org/wiki/Special:FilePath/USA%2010654%20Bryce%20Canyon%20Luca%20Galuzzi%202007.jpg,United States,https://en.wikipedia.org/wiki/Bryce_Canyon_National_Park,120
Q237128,Mesa Verde National Park,national_parks,Point(-108.494444 37.260375),http://commons.wikimedia.org/wiki/Special:FilePath/Mesa%20Verde.jpg,United States,https://en.wikipedia.org/wiki/Mesa_Verde_National_Park,120
Q373567,Glacier National Park,national_parks,Point(-113.8 48.755),http://commons.wikimedia.org/wiki/Special:FilePath/Saint%20Mary%20Lake%20and%20Wildgoose%20Island.jpg,United States,https://en.wikipedia.org/wiki/Glacier_National_Park_(U.S.),114
Q205325,Zion National Park,national_parks,Point(-112.98785 37.202619444),http://commons.wikimedia.org/wiki/Special:FilePath/Zion%20angels%20landing%20view.jpg,United States,https://en.wikipedia.org/wiki/Zion_National_Park,114
Q372093,Olympic National Park,national_parks,Point(-123.75 47.7),http://commons.wikimedia.org/wiki/Special:FilePath/HurricaneRidge%207392t.jpg,United States,https://en.wikipedia.org/wiki/Olympic_National_Park,110
Q205952,Hawaiʻi Volcanoes National Park,national_parks,Point(-155.12361 19.40083),http://commons.wikimedia.org/wiki/Special:FilePath/Lava-streaming-into-ocean.jpg,United States,https://en.wikipedia.org/wiki/Hawai%CA%BBi_Volcanoes_National_Park,108
Q242681,Mammoth Cave National Park,national_parks,Point(-86.101111111 37.186944444),http://commons.wikimedia.org/wiki/Special:FilePath/Mammoth%20Cave%20Rotunda%20%28USGS%20Lwt02830%29.jpg,United States,https://en.wikipedia.org/wiki/Mammoth_Cave_National_Park,106
Q222695,Grand Teton National Park,national_parks,Point(-110.700833333 43.833333333),http://commons.wikimedia.org/wiki/Special:FilePath/Barns%20grand%20tetons.jpg,United States,https://en.wikipedia.org/wiki/Grand_Teton_National_Park,104
Q273195,Carlsbad Caverns National Park,national_parks,Point(-104.443888888 32.175277777),http://commons.wikimedia.org/wiki/Special:FilePath/Carlsbad%20Interior%20Formations.jpg,United States,https://en.wikipedia.org/wiki/Carlsbad_Caverns_National_Park,102
Q464004,Great Smoky Mountains National Park,national_parks,Point(-83.425 35.611111111),http://commons.wikimedia.org/wiki/Special:FilePath/Great%20Smoky%20Mountains%20Cades%20Cove%20View.jpg,United States,https://en.wikipedia.org/wiki/Great_Smoky_Mountains_National_Park,102
Q223969,Arches National Park,national_parks,Point(-109.54 38.728055555),http://commons.wikimedia.org/wiki/Special:FilePath/Delicate%20Arch%20-%20Arches%20National%20Park%20%2828744386992%29.jpg,United States,https://en.wikipedia.org/wiki/Arches_National_Park,102
Q49108,Massachusetts Institute of Technology,universities,Point(-71.091944444 42.359722222),http://commons.wikimedia.org/wiki/Special:FilePath/MIT%20Dome%20night1%20Edit.jpg,United States,https://en.wikipedia.org/wiki/Massachusetts_Institute_of_Technology,448
Q13371,Harvard University,universities,Point(-71.116943888 42.374443888),http://commons.wikimedia.org/wiki/Special:FilePath/Sanders%20theater%202009y.JPG,United States,https://en.wikipedia.org/wiki/Harvard_University,298
Q49115,Cornell University,universities,Point(-76.483888888 42.449166666),http://commons.wikimedia.org/wiki/Special:FilePath/Cornell%20University%2C%20Ho%20Plaza%20and%20Sage%20Hall.jpg,United States,https://en.wikipedia.org/wiki/Cornell_University,291
Q41506,Stanford University,universities,Point(-122.17 37.4275),http://commons.wikimedia.org/wiki/Special:FilePath/Stanford%20Oval%20May%202011%20panorama.jpg,United States,https://en.wikipedia.org/wiki/Stanford_University,222
Q49112,Yale University,universities,Point(-72.926666666 41.311111111),http://commons.wikimedia.org/wiki/Special:FilePath/Yale%20Law%20School%20in%20the%20Sterling%20Law%20Building.jpg,United States,https://en.wikipedia.org/wiki/Yale_University,212
Q21578,Princeton University,universities,Point(-74.656111111 40.345277777),http://commons.wikimedia.org/wiki/Special:FilePath/ClevelandTowerWatercolor20060829.jpg,United States,https://en.wikipedia.org/wiki/Princeton_University,198
Q49088,Columbia University,universities,Point(-73.961944444 40.8075),http://commons.wikimedia.org/wiki/Special:FilePath/Columbia%20University%20-%20Low%20Memorial%20Library%20%2848170370506%29.jpg,United States,https://en.wikipedia.org/wiki/Columbia_University,192
Q333886,Georgetown University,universities,Point(-77.072777777 38.907222222),http://commons.wikimedia.org/wiki/Special:FilePath/Healy%20Hall%20Georgetown%20University.jpg,United States,https://en.wikipedia.org/wiki/Georgetown_University,174
Q168756,"University of California, Berkeley",universities,Point(-122.258333333 37.871944444),http://commons.wikimedia.org/wiki/Special:FilePath/Berkeley%20glade%20afternoon.jpg,United States,"https://en.wikipedia.org/wiki/University_of_California,_Berkeley",174
Q131252,University of Chicago,universities,Point(-87.599722222 41.789722222),http://commons.wikimedia.org/wiki/Special:FilePath/Campus%20Spring.jpg,United States,https://en.wikipedia.org/wiki/University_of_Chicago,172
Q125753,Holland Tunnel,space,Point(-74.021389 40.7275),http://commons.wikimedia.org/wiki/Special:FilePath/Holland%20tunnel.jpg,United States,https://en.wikipedia.org/wiki/Holland_Tunnel,31
Q125805,Lincoln Tunnel,space,Point(-74.0111 40.7625),http://commons.wikimedia.org/wiki/Special:FilePath/Lincoln%20Manh%20portal%209-38%20jeh.JPG,United States,https://en.wikipedia.org/wiki/Lincoln_Tunnel,29
Q1129573,Detroit–Windsor Tunnel,space,Point(-83.040052777 42.324502777),http://commons.wikimedia.org/wiki/Special:FilePath/DWTunnel.JPG,United States,https://en.wikipedia.org/wiki/Detroit%E2%80%93Windsor_Tunnel,18
Q3318219,Moffat Tunnel,space,Point(-105.646 39.9024),http://commons.wikimedia.org/wiki/Special:FilePath/Image%20Moffat%20west2a.jpg,United States,https://en.wikipedia.org/wiki/Moffat_Tunnel,18
Q125635,Brooklyn–Battery Tunnel,space,Point(-74.013611 40.695833),http://commons.wikimedia.org/wiki/Special:FilePath/Brookbattunmanjeh.JPG,United States,https://en.wikipedia.org/wiki/Brooklyn%E2%80%93Battery_Tunnel,16
Q82059,Nasdaq,markets,Point(-73.98576 40.7565),http://commons.wikimedia.org/wiki/Special:FilePath/CreditRich%20Nasdaq%20Tower%20NYC.jpg,United States,https://en.wikipedia.org/wiki/Nasdaq,92
Q13677,New York Stock Exchange,markets,Point(-74.011111111 40.706944444),http://commons.wikimedia.org/wiki/Special:FilePath/Nyse%202009g.JPG,United States,https://en.wikipedia.org/wiki/New_York_Stock_Exchange,88
Q130018,Q130018,peaks,Point(-151.006261111 63.069102777),http://commons.wikimedia.org/wiki/Special:FilePath/Wonder%20Lake%20and%20Denali.jpg,United States,https://en.wikipedia.org/wiki/Denali,100
Q83497,Mount Rushmore,peaks,Point(-103.459166666 43.878888888),http://commons.wikimedia.org/wiki/Special:FilePath/Mount%20Rushmore%20detail%20view%20%28100MP%29.jpg,United States,https://en.wikipedia.org/wiki/Mount_Rushmore,95
Q194057,Mount Rainier,peaks,Point(-121.760277777 46.851666666),http://commons.wikimedia.org/wiki/Special:FilePath/Mount%20Rainier%205917s.JPG,United States,https://en.wikipedia.org/wiki/Mount_Rainier,68
Q235539,Mount Whitney,peaks,Point(-118.291944444 36.578611111),http://commons.wikimedia.org/wiki/Special:FilePath/Mount%20Whitney%202003-03-25.jpg,United States,https://en.wikipedia.org/wiki/Mount_Whitney,61
Q306201,Devils Tower,peaks,Point(-104.715277777 44.590277777),http://commons.wikimedia.org/wiki/Special:FilePath/Flaganddevilstower.jpg,United States,https://en.wikipedia.org/wiki/Devils_Tower,51
Q275662,Mount Hood,peaks,Point(-121.695833333 45.373611111),http://commons.wikimedia.org/wiki/Special:FilePath/Mount%20Hood%20reflected%20in%20Mirror%20Lake%2C%20Oregon.jpg,United States,https://en.wikipedia.org/wiki/Mount_Hood,43
Q748355,Mount Shasta,peaks,Point(-122.194888888 41.409197222),http://commons.wikimedia.org/wiki/Special:FilePath/North%20face%20of%20Mount%20Shasta%20at%20sunset-2175.jpg,United States,https://en.wikipedia.org/wiki/Mount_Shasta,43
Q770496,Mount Saint Elias,peaks,Point(-140.931388888 60.292222222),http://commons.wikimedia.org/wiki/Special:FilePath/Mt%20Saint%20Elias%2C%20South%20Central%20Alaska.jpg,United States,https://en.wikipedia.org/wiki/Mount_Saint_Elias,43
Q692922,Novarupta,peaks,Point(-155.156666666 58.266666666),http://commons.wikimedia.org/wiki/Special:FilePath/Novarupta.jpg,United States,https://en.wikipedia.org/wiki/Novarupta,39
Q594387,Mount Baker,peaks,Point(-121.8132008 48.7773426),http://commons.wikimedia.org/wiki/Special:FilePath/Mount%20Baker%2022101.JPG,United States,https://en.wikipedia.org/wiki/Mount_Baker,38
Q1066,Lake Superior,lakes,Point(-87.760021944 47.528816111),http://commons.wikimedia.org/wiki/Special:FilePath/Lake%20Superior%2C%20ISS.jpg,United States,https://en.wikipedia.org/wiki/Lake_Superior,333
Q329266,Crater Lake,lakes,Point(-122.106666666 42.943611111),http://commons.wikimedia.org/wiki/Special:FilePath/Day%20181%20-%20Crater%20Lake%2C%20Oregon%20%2818695528363%29.jpg,United States,https://en.wikipedia.org/wiki/Crater_Lake,156
Q503301,Salton Sea,lakes,Point(-115.8391 33.3377),http://commons.wikimedia.org/wiki/Special:FilePath/Salton%20Sea%20from%20Space.jpg,United States,https://en.wikipedia.org/wiki/Salton_Sea,144
Q335585,Mono Lake,lakes,Point(-119.0093116 38.0165908),http://commons.wikimedia.org/wiki/Special:FilePath/Mono%20Lake%20sat%20zoomed.jpg,United States,https://en.wikipedia.org/wiki/Mono_Lake,141
Q178741,Great Salt Lake,lakes,Point(-112.583333333 41.166666666),http://commons.wikimedia.org/wiki/Special:FilePath/Great%20Salt%20Lake%20by%20Sentinel-2.jpg,United States,https://en.wikipedia.org/wiki/Great_Salt_Lake,140
Q1062,Lake Ontario,lakes,Point(-78.106388888 43.728888888),http://commons.wikimedia.org/wiki/Special:FilePath/ISS-36%20Lake%20Ontario%20%28horizontal%29.jpg,United States,https://en.wikipedia.org/wiki/Lake_Ontario,106
Q1169,Lake Michigan,lakes,Point(-86.756451 44.007874),http://commons.wikimedia.org/wiki/Special:FilePath/Lake%20Michigan%20in%20true%20color.jpg,United States,https://en.wikipedia.org/wiki/Lake_Michigan,106
Q5492,Lake Erie,lakes,Point(-80.999722222 42.25),http://commons.wikimedia.org/wiki/Special:FilePath/A1.23188.1851.LakeErie.143.250m.jpg,United States,https://en.wikipedia.org/wiki/Lake_Erie,101
Q1383,Lake Huron,lakes,Point(-82.756293 44.592584),http://commons.wikimedia.org/wiki/Special:FilePath/Lake%20Huron%20in%20winter.jpg,United States,https://en.wikipedia.org/wiki/Lake_Huron,100
Q127091,Pearl Harbor,lakes,Point(-157.953611 21.361944),http://commons.wikimedia.org/wiki/Special:FilePath/Aerial%20view%20of%20Pearl%20Harbor%20on%201%20June%201986%20%286422248%29.jpg,United States,https://en.wikipedia.org/wiki/Pearl_Harbor,88
Q43296,Wake Island,islands,Point(166.633333333 19.3),http://commons.wikimedia.org/wiki/Special:FilePath/Aerial%20view%20of%20Wake%20Island%20in%20July%202014.JPG,United States,https://en.wikipedia.org/wiki/Wake_Island,212
Q16635,Guam,islands,Point(144.8 13.5),http://commons.wikimedia.org/wiki/Special:FilePath/Guam%20satellite%20photo%20map.jpg,United States,https://en.wikipedia.org/wiki/Guam,193
Q46879,Baker Island,islands,Point(-176.479444 0.194722),http://commons.wikimedia.org/wiki/Special:FilePath/Baker%20Island%20Coastline.jpg,United States,https://en.wikipedia.org/wiki/Baker_Island,180
Q62218,Jarvis Island,islands,Point(-159.99699 -0.37207),http://commons.wikimedia.org/wiki/Special:FilePath/Jarvis%20Island%20Guano%20Tramway.jpg,United States,https://en.wikipedia.org/wiki/Jarvis_Island,166
Q131305,Howland Island,islands,Point(-176.616388888 0.806666666),http://commons.wikimedia.org/wiki/Special:FilePath/Howland%20island%20nasa.jpg,United States,https://en.wikipedia.org/wiki/Howland_Island,164
Q131347,Oahu,islands,Point(-157.965 21.485),http://commons.wikimedia.org/wiki/Special:FilePath/Oahu.jpg,United States,https://en.wikipedia.org/wiki/O%CA%BBahu,164
Q123076,Palmyra Atoll,islands,Point(-162.083333333 5.883333333),http://commons.wikimedia.org/wiki/Special:FilePath/Palmyra%20Atoll.png,United States,https://en.wikipedia.org/wiki/Palmyra_Atoll,160
Q130895,Kingman Reef,islands,Point(-162.416666666 6.383333333),http://commons.wikimedia.org/wiki/Special:FilePath/Aerial%20view%20of%20the%20Southeast%20Part%20of%20Kingman%20Reef.png,United States,https://en.wikipedia.org/wiki/Kingman_Reef,156
Q131008,Johnston Atoll,islands,Point(-169.516666666 16.75),http://commons.wikimedia.org/wiki/Special:FilePath/Johnston%20Atoll.png,United States,https://en.wikipedia.org/wiki/Johnston_Atoll,152
Q188705,Maui,islands,Point(-156.268158 20.770239),http://commons.wikimedia.org/wiki/Special:FilePath/Maui%20panorama.jpg,United States,https://en.wikipedia.org/wiki/Maui,144
